"","HazardousIngredient"
"1",""
"2","(META-)CRESOL"
"3","1-1,-DICHLORO-1-FLUOROETHANE"
"4","1-METHOXY-2-PROPANOL"
"5","1-METHYLPYRROLIDONE"
"6","1-OCTENE POLYMER WITH ETHENE"
"7","1-THIOGLYCEROL"
"8","1,1-CARBONYLDIIMIDAZOLE"
"9","1,1-DICHLORO-2,2,2-TRIFLUOROETHANE"
"10","1,1-METHYLENEBIS[4-ISOCYANATO-BENZENE"
"11","1,1,1-TRIFLUOROETHANE"
"12","1,1,1,2-TETRAFLUOROETHANE"
"13","1,2-DIMETHOXYETHANE"
"14","1,3-DICHLORO-2-PROPANOL"
"15","1,3,5 TRIGLYCIDYL ISOCYANURATE"
"16","1,3,5-TRIGLYCIDYL ISOCYANURATE"
"17","1,4-BUTANEDIOL"
"18","2-(2-AMINOETHOXY) ETHANOL"
"19","2-BENZYLIDENEHEPTANAL"
"20","2-BUTOXY ETHANOL"
"21","2-BUTOXYETHANOL"
"22","2-HEPTANONE"
"23","2-METHOXY-1-METHYL ACETATE"
"24","2-PHOPHONOBUTANE-1,2,4-TRICARBOXYLIC"
"25","2-PROPANOL"
"26","2-PROPENOIC ACID HOMOPOLYMER"
"27","2-PROPENOIC ACID POLYMER"
"28","2-PROPENOIC ACID, POLYMER"
"29","2-PYRROLIDINONE"
"30","2,2-DICHLORO-1,1,1 TRIFLUOROETHANE"
"31","2,2-DICHLORO-1,1,1-TRIFLUOROETHANE"
"32","2,4-HEXADIENOIC ACID, POTASSIUM SALT"
"33","2,4-TOLUENE DIISOCYANATE"
"34","2,5-FURANDIONE, POLYMER WITH 1-PROPENE"
"35","2,6-DICHLOROBENZONITRILE"
"36","3 NC-510 HYDROCARDANOL"
"37","3,5,5-TRIMETHYLHEXANOIC ACID"
"38","3,5,7-TRIAZA-1-AZONIATRICYCLO"
"39","3,6-DICHLOROFLUOROESCEIN"
"40","4-4-ISOPROPYLIDENEDIPHENOL"
"41","4-AMINO BENZENE ETHANOL"
"42","4-METHYL-2-PENTANOL"
"43","4-NITROPHTHALONITRILE"
"44","4-NONYLPHENOL, BRANCHED"
"45","4,4-METHYLENEBIS 2-CHLOR"
"46","5-CHLORO-2-METHYL-2H-ISOTHIAZOL-3-ONE"
"47","5-CHLORO-2-METHYL-4-ISOTHIAZOLIN-3-ONE"
"48","5-CHLORO-2-METHYL-4-SOTHIAZOLIN-3-ONE"
"49","5-CHLORO-2-PENTANONE"
"50","5-METHYL-1H-BENZOTRIAZOLE"
"51","6-DIAZO-5,6-DIHYDRO-5-OXY-1-NAPHTHALENES"
"52","9-OCTADECENOIC ACID (9Z)-, REACTION"
"53","ABS COPOLYMER"
"54","ACESULFAME K"
"55","ACETAL POLYMER"
"56","ACETALDEHYDE DIETHYL ACETAL, NATURAL"
"57","ACETAMINOPHEN USP"
"58","ACETONE"
"59","ACETONITRILE"
"60","ACETYLSALICYLIC ACID"
"61","ACIDIC SOLUTIONS"
"62","ACIDS"
"63","ACRYLIC COPOLYMER SODIUM SALT"
"64","ACRYLIC POLYMER"
"65","ACRYLIC RESIN"
"66","ACRYLIC RESINS"
"67","ACRYLONITRILE-BUTADIENE STYRENE"
"68","ACRYLONITRILE/BUTADIENE/STYRENE"
"69","ACTIVATED CARBON (COAL BASED)"
"70","ACTIVATED SEWAGE SLUDGE ORGANIC SOLIDS"
"71","ADIPIC ACID"
"72","AIR"
"73","ALCOHOL"
"74","ALCOHOL ALKOXYLATES"
"75","ALCOHOL ETHOXYLATE"
"76","ALCOHOL ETHOXYLATED"
"77","ALCOHOLS, C12-16, ETHOXYLATED"
"78","ALFALFA MEAL"
"79","ALIPHATIC ESTERS AND ALDEHYDES"
"80","ALIPHATIC HYDROCARBON SOLVENT"
"81","ALIPHATIC HYDROCARBONS"
"82","ALIPHATIC OIL"
"83","ALKALI BLUE PIGMENT"
"84","ALKALI CARBONATE"
"85","ALKALINE SOLUTION"
"86","ALKOXY FUNCTIONAL SILANES"
"87","ALKYL (C16-C18) METHYL ESTERS"
"88","ALKYL ALCOHOL C10-16 ETHOXYLATED"
"89","ALKYL DIMETHYL BENZYL AMMONIUM CHLORIDE"
"90","ALKYL SULFOSUCCINATE SALT"
"91","ALKYLAMINE ACETATE"
"92","ALKYLATED POLYAMINE"
"93","ALMANDINE"
"94","ALPHA-METHYLSTYRENE"
"95","ALUMINA"
"96","ALUMINA-ZIRCON"
"97","ALUMINATE SULFATE HYDRATE"
"98","ALUMINUM"
"99","ALUMINUM CHLORIDE"
"100","ALUMINUM CHLORIDE HYDROXIDE"
"101","ALUMINUM CHLORIDE, HEXAHYDRATE"
"102","ALUMINUM CHLOROHYDRATE"
"103","ALUMINUM COMPOUNDS"
"104","ALUMINUM DISTEARATE"
"105","ALUMINUM FIBER"
"106","ALUMINUM FLAKE"
"107","ALUMINUM FLUORIDE"
"108","ALUMINUM METAL"
"109","ALUMINUM OXIDE"
"110","ALUMINUM PHOSPHIDE"
"111","ALUMINUM POWDER (STABILIZED)"
"112","ALUMINUM SULFATE"
"113","ALUMINUM SULFATE HYDRATE"
"114","ALUMINUM TRIHYDROXIDE"
"115","AMIDE"
"116","AMIDES, COCO, N,N-BIS(HYDROXYETHYL)"
"117","AMINE"
"118","AMINE BASED TETROL"
"119","AMINE BORATE"
"120","AMINE CATALYST"
"121","AMINOPOLYAMIDE"
"122","AMMONIA"
"123","AMMONIA HYDROXIDE"
"124","AMMONIA SALT OF MODIFIED STYRENE ACRYLIC"
"125","AMMONIUM  SULFATE"
"126","AMMONIUM & CALCIUM PHOSPHATES"
"127","AMMONIUM ACETATE"
"128","AMMONIUM BICARBONATE"
"129","AMMONIUM BIFLUORIDE"
"130","AMMONIUM BROMIDE"
"131","AMMONIUM CARBAMATE"
"132","AMMONIUM CHLORIDE"
"133","AMMONIUM CHLORIDE DERIVATIVE"
"134","AMMONIUM FLUORIDE"
"135","AMMONIUM HYDROXIDE"
"136","AMMONIUM HYDROXIDE, AMMONIA"
"137","AMMONIUM NITRATE"
"138","AMMONIUM NITRATES"
"139","AMMONIUM PERSULFATE"
"140","AMMONIUM POLYPHOSPHATE"
"141","AMMONIUM SULFATE"
"142","AMMONIUM THIOSULFATE"
"143","AMORPHOUS SILICON DIOXIDE"
"144","ANHYDROUS ORGANIC SALT"
"145","ANIONIC POLYACRYLAMIDE"
"146","ANTHRANILIC ACID"
"147","ANTIMONY TRIOXIDE"
"148","AQUA AMMONIA"
"149","AROMATIC DISTILLATION RESIDUE"
"150","AROMATIC HYDROCARBON"
"151","AROMATIC HYDROCARBONS"
"152","AROMATIC POLYISOCYANATE RESIN"
"153","ARSENIC"
"154","ARSENIC TRIOXIDE"
"155","ASPARAGINASE"
"156","ASPARTAME"
"157","ASPHALT"
"158","ASPHALT CEMENT"
"159","ASPHALT, MINERAL SPIRITS"
"160","AZOLE"
"161","BACILLUS SPHAERICUS SEROTYP H5A5B"
"162","BACILLUS THURENGENSIS ISRAELENSIS"
"163","BARITE"
"164","BARIUM CHLORIDE"
"165","BARIUM METABORATE"
"166","BARIUM SULFATE"
"167","BARLEY MALT FLOUR"
"168","BASE LUBRICATING OILS"
"169","BASE OIL"
"170","BASE POLYMER"
"171","BASE RESIN"
"172","BENTONITE"
"173","BENTONITE CLAY"
"174","BENZALDEHYDE"
"175","BENZENE DIETHENYL POLYMER"
"176","BENZENE SULFONIC ACID MONO-C10-16-ALKLDE"
"177","BENZENE, DIETHENYL-,POLYMER"
"178","BENZENE, DIETHYNYL POLYMER"
"179","BENZOTRIAZOLE"
"180","BENZYL BENZOATE"
"181","BENZYL CHLORIDE"
"182","BIFENTHRIN"
"183","BISMUTH"
"184","BISPHENOL A"
"185","BISPHENOL A DIGLYCIDYL ETHER"
"186","BISPHENOL A POLYCARBONATE"
"187","BISPHENOL A-EPICHLOROHYDRIN POLYMER"
"188","BLACK PIGMENT"
"189","BORIC ACID"
"190","BUTANEDIOIC ACID"
"191","BUTANONE"
"192","BUTOXYETHANOL"
"193","BUTYL BENZYL PHTHALATE"
"194","BUTYL CARBITOL"
"195","BUTYLENE/POLY(ALKYLENE)ETHER PHTHALATE"
"196","CADMIUM"
"197","CADMIUM SULFIDE"
"198","CADMIUM, AMMONIUM NITRATE"
"199","CALCINED ALUMINA"
"200","CALCIUM"
"201","CALCIUM CARBIDE"
"202","CALCIUM CARBONATE"
"203","CALCIUM CHLORIDE"
"204","CALCIUM CITRATE TETRAHYDRATE"
"205","CALCIUM COMPOUNDS"
"206","CALCIUM DIHYDROXIDE"
"207","CALCIUM FLUORIDE"
"208","CALCIUM HYDROXIDE"
"209","CALCIUM HYPOCHLORITE"
"210","CALCIUM LITHOL"
"211","CALCIUM MAGNESIUM CARBONATE"
"212","CALCIUM NITRATE"
"213","CALCIUM NITRATE, TETRAHYDRATE"
"214","CALCIUM OXIDE"
"215","CALCIUM PHOSPHATE MONOBASIC"
"216","CALCIUM PROPIONATE"
"217","CALCIUM SALT"
"218","CALCIUM SALTS"
"219","CALCIUM SALTS-CEMENT"
"220","CALCIUM/SODIUM CHLORIDE"
"221","CALPRIL"
"222","CANOLA OIL"
"223","CARAWAY OIL"
"224","CARBAMIC ACID BUTYL ESTER"
"225","CARBAMIC ACID, AMMONIUM SALT"
"226","CARBARYL"
"227","CARBITOL"
"228","CARBON"
"229","CARBON BLACK"
"230","CARBON BLACK AMORPHOUS"
"231","CARBONYL IRON POWDER"
"232","CARBOXYLATED STYRENE BUTADINE POLYMER"
"233","CARBOXYLIC ACID"
"234","CASEIN"
"235","CATIONIC WATER-SOLUBLE POLYMER"
"236","CAUSTIC SODA"
"237","CELLULOSE"
"238","CELLULOSE FIBER"
"239","CERELOSE"
"240","CERIUM (IV) OXIDE"
"241","CERIUM OXIDE"
"242","CHELATED ZINC"
"243","CHLORINATED POLYVINYL CHLORIDE"
"244","CHLORO-2-METHYL-4-ISOTHIAZOLIN-3-ONE"
"245","CHLOROFORM"
"246","CHLOROMETHYL CHLOROFORMATE"
"247","CHLOROPHACINONE"
"248","CHONDROITIN SULFATE SODIUM"
"249","CHROME COMPOUNDS"
"250","CHROMIC ACID"
"251","CHROMIC AICD"
"252","CHROMIUM"
"253","CHROMIUM (III) OXIDE"
"254","CHROMIUM & SODIUM HYDROXIDE"
"255","CHROMIUM OXIDE/COPPER OXIDE"
"256","CHROMIUM TRIOXIDE"
"257","CITRIC ACID"
"258","CITRIC ACID MONOHYDRATE"
"259","CLAY"
"260","COAL TAR PITCH"
"261","COBALT"
"262","COBALT (II) CHLORIDE HEXAHYDRATE"
"263","COBALT CARBONATE"
"264","COBALT NEODECANOATE 0.5%-1.5%"
"265","COCOA POWDER"
"266","COIR FIBER PITH AND COIR FIBERS"
"267","COLEMANITE"
"268","COLORANT(MAGENTA)"
"269","COLUMBIUM"
"270","COMPONENT A"
"271","COMPRESSED FLAMMABLE GAS"
"272","COPOLYMER OF ETHYLENE AND OCTENE-1"
"273","COPPER"
"274","COPPER (II) SULFATE"
"275","COPPER (II) SULFATE PENTAHYDRATE"
"276","COPPER ACETATE"
"277","COPPER CHLORIDE"
"278","COPPER COMPOUNDS"
"279","COPPER CYANIDE"
"280","COPPER HYDROXIDE"
"281","COPPER SULFATE"
"282","COPPER SULFATE PENTAHYDRATE"
"283","COPPER, CHROMIUM, CADMIUM, ETC."
"284","CORN FLOUR"
"285","CORN MEAL"
"286","CORN SYRUP"
"287","CREATINE MONOHYDRATE"
"288","CRISTOBALITE"
"289","CRYSTALLINE QUARTZ"
"290","CYANIDE"
"291","CYCLOHEXANONE"
"292","CYCLOHEXYLAMINE"
"293","D-GLUCOSAMINE HYDROCHLORIDE"
"294","DAKOTA PEAT"
"295","DATEM"
"296","DAZOMET"
"297","DECANAL"
"298","DEXTROSE"
"299","DEXTROSE ANHYDROUS"
"300","DGEBA"
"301","DI-TERT-BUTYL DICARBONATE"
"302","DIACETONE ALCOHOL 50%, ROSIN ESTER"
"303","DIAMINOCYCLOHEXANE"
"304","DIAMMONIUM PHOSPHATE"
"305","DIATOMACEOUS EARTH"
"306","DIATOMACEOUS EARTH CALCINED"
"307","DIATOMACEOUS EARTH FLUX CALCINED"
"308","DIATOMACEOUS EARTH NATURAL"
"309","DICALCIUM PHOSPHATE"
"310","DICALCIUM PHOSPHATE DIHYDRATE"
"311","DICHLOBENIL (2,6-DICHLOROBENZONITRILE)"
"312","DICHLORO-2-PROPANOL-1,3"
"313","DICHLORO-S-TRIAZINETRIONE"
"314","DICHLOROTETRAFLUOROETHANE"
"315","DICYANDIAMIDE"
"316","DIDECYL DIMETHYL AMMONIUM CHLORIDE"
"317","DIDECYLDIMETHYL AMMONIUM CHLORIDE"
"318","DIETHYLENETRIAMINE"
"319","DIETHYLETHANOLAMINE"
"320","DIETHYLHYDROXYLAMINE"
"321","DIGLYCIDYL ETHER OF BISPHENOL A"
"322","DIMERDIOL FATTY DIOL, C36 BRANCHED"
"323","DIMETHOXANE"
"324","DIMETHYL ACETAMIDE"
"325","DIMETHYL BENZYL AMMONIUM CHLORIDES"
"326","DIMETHYL SULFOXIDE"
"327","DIMETHYLACETAMIDE"
"328","DIMETHYLAMINE SALT OF MCPA"
"329","DIMETHYLAMINOBORANE"
"330","DIMETHYLDIOCTYLAMMONIUM CHLORIDE"
"331","DIMETHYLETHANOLAMINE-EPICHLORHYDRIN"
"332","DIMETHYLPOLYSILOXANES"
"333","DIMETHYLSULFOXIDE"
"334","DIOCTADECYLAMINE"
"335","DIPOTASSIUM PHOSPHATE"
"336","DIPROP GLY TERT-BUTYL ETHE"
"337","DISILANE"
"338","DISODIUM OCTABORATE TETRAHYDRATE"
"339","DISODIUM PHOSPHATE"
"340","DISODIUM PYROPHOSPHATE"
"341","DISODIUM SALT OF EDTA"
"342","DISODIUM TARTRATE ANHYDROUS"
"343","DISTILLATES HEAVY PARAFINNIC"
"344","DISTILLATES, HEAVY NAPHTHENIC"
"345","DITHIOPYR"
"346","DKHLOROBENZIDINE OR ITS SALTS"
"347","DODECYLAMINE"
"348","DODECYLBENZENE SULFONIC ACID"
"349","DOLOMITE"
"350","EDIBLE GRAIN MIXTURE"
"351","EMULSIFIED STYRENE BUTADIENE / ACRYLONIT"
"352","EMULSIFIER"
"353","EMULSIFIER ANIONIC"
"354","EPICHLORHYDRIIN/BISPHENOL-A EPOXY RESIN"
"355","EPICHLOROHYDRIN"
"356","EPOXY POLYMER RESIN"
"357","EPOXY RESIN"
"358","ERBIUM OXIDE"
"359","ERYTHRITOL"
"360","ESTER OF ROSIN"
"361","ETHANAMINE, N,N-DIMETHYL"
"362","ETHANE, 1,1,1,2-TETRAFLUORO (HFC-134A)"
"363","ETHANE, TETRAFLUORO"
"364","ETHANOL"
"365","ETHANOL, 2-((2-AMINO-1-METHYLETHYL)AMINO"
"366","ETHANOLAMINE"
"367","ETHOXYLATED C12-C14 ALCOHOL"
"368","ETHOXYLATED NONYLPHENOL"
"369","ETHYL ACETATE"
"370","ETHYL ALCOHOL"
"371","ETHYL LACTATE"
"372","ETHYL LACTATE, 2-PENTANONE"
"373","ETHYLENE HOMOPOLYMER"
"374","ETHYLENE OXIDE-NONYLPHENOL POLYMER"
"375","ETHYLENE VINYL ACETATE COPOLYMER"
"376","ETHYLENE-METHYL ACRYLATE (EMA)"
"377","ETHYLENEDIAMINE"
"378","FATTY ACID"
"379","FATTY ACID DERIVATIVES"
"380","FATTY ACIDS"
"381","FATTY ACIDS TALL-OIL"
"382","FD  AND C RED NO 40 GRANULAR"
"383","FERRIC AMMONIUM EDTA"
"384","FERRIC CHLORIDE"
"385","FERRIC OXIDE"
"386","FERRIC SULFATE"
"387","FERROUS CHLORIDE"
"388","FERROUS SULFIDE"
"389","FERROUS SULPHATE"
"390","FERTILIZER MINERALS"
"391","FIBER GLASS"
"392","FIBER GLASS CONTINUOUS"
"393","FIBERGLASS"
"394","FIBROUS GLASS"
"395","FLOUR"
"396","FLUORIDE SALT"
"397","FLUOROSILICIC ACID"
"398","FOOD GRADE OIL"
"399","FORMALDEHYDE"
"400","FORMIC ACID"
"401","FREE FATTY ACIDS"
"402","FRUCTOSE"
"403","FUEL OIL RESIDUAL"
"404","FULLERS EARTH (ATTAPULGITE TYPE)"
"405","GALLIUM ARSENIDE"
"406","GLASS"
"407","GLASS OXIDE"
"408","GLUCOSAMINE SULFATE"
"409","GLUCOSE"
"410","GLUTARALDEHYDE"
"411","GLYCERINE"
"412","GLYCEROL"
"413","GLYCINE"
"414","GRAIN DUST"
"415","GRAPHITE"
"416","GROUND LIMESTONE (CALCIUM CARBONATE)"
"417","GUAR GUM"
"418","GYPSUM"
"419","HAFNIUM"
"420","HALOGENATED HYDROCARBON"
"421","HEAVY PARAFFINIC DISTILLATE"
"422","HEPTAN-2-ONE"
"423","HEXAFLUOROETHANE"
"424","HEXAMETHALENETETRAMINE & PHENOL"
"425","HEXAMETHYLENETETRAMINE"
"426","HEXANAL"
"427","HIGHLY REFINED BASE OIL"
"428","HIGHLY REFINED LUBRICANT"
"429","HIGHLY REFINED MINERAL OIL"
"430","HIGHLY REFINED MINERAL OIL (C15-C50)"
"431","HYDRATED CALCIUM MAGNESIUM ACETATE"
"432","HYDRAZINE MONOHYDRATE"
"433","HYDROBROMIC ACID"
"434","HYDROCARBON BASE OIL"
"435","HYDROCARBON BASED OILS"
"436","HYDROCARBON IN WATER EMULSION"
"437","HYDROCARBON SOLVENT"
"438","HYDROCHLORIC ACID"
"439","HYDROFLUORIC ACID"
"440","HYDROQUINONE"
"441","HYDROTREATED DISTILLATE LIGHT"
"442","HYDROTREATED DISTILLATE, HVY PARAFFINIC"
"443","HYDROTREATED HEAVY NAPHTHENIC DISTILLATE"
"444","HYDROTREATED LIGHT NAPHTHENIC DISTILLATE"
"445","HYDROTREATED NATURAL HYDROCARBON"
"446","HYDROTREATED PARAFFINIC HYDROCARBONS"
"447","HYDROXY PROPYL METHYLCELLULOSE"
"448","HYDROXYLAMINE"
"449","HYDROXYLAMINE SULFATE"
"450","HYPOCHLORITE SOLUTION (12.5%)"
"451","HYRDROFLUORIC ACID"
"452","IMIDACLOPRID"
"453","IMIDAZOLIUM COMPOUNDS"
"454","IMIDODICARBONIMIDIC DIAMIDE"
"455","INORGANIC FLUORIDE"
"456","INORGANIC SALT"
"457","INULIN"
"458","IRON"
"459","IRON CHROMATE"
"460","IRON CHROMITE"
"461","IRON OXIDE"
"462","IRON OXIDE (BLACK)"
"463","IRON OXIDE RED"
"464","IRON OXIDE YELLOW"
"465","IRON SALT"
"466","IRON SULFATE"
"467","IRON SULFATE HEPTAHYDRATE"
"468","ISOALKANES"
"469","ISOBUTYRAMIDE"
"470","ISOCYANATE"
"471","ISOCYANATES"
"472","ISOMERIC MIXTURE OF ETHANOL, 2,2-"
"473","ISOPROPANOL"
"474","ISOPROPANOL, ETHYLACETATE, ETC."
"475","ISOPROPYL ACETATE"
"476","ISOPROPYL ALCOHOL"
"477","KEROSENE"
"478","KETONES, MIXTURE"
"479","KRYPTON"
"480","L-ASCORBIC ACID"
"481","L-PHENYLALANINE"
"482","LAURYL ETHER CARBOXYLIC ACID"
"483","LCELLULOSE"
"484","LEAD"
"485","LEAD COMPOUND"
"486","LEAD MONOXIDE"
"487","LEAD OXIDE"
"488","LECITHIN"
"489","LEUCO QUINIZARIN"
"490","LIGHT PARAFFINIC OIL"
"491","LIME"
"492","LIMESTONE"
"493","LIMESTONE, CALCIUM CARBONATE"
"494","LINEAR ALCOHOL ETHOXYLATE"
"495","LINSEED OIL"
"496","LITHOL RED (BARIUM)"
"497","LUBRCATING OILS USED"
"498","LUBRICANT BASE OIL"
"499","LUBRICATING BASE OIL"
"500","LUBRICATING BASE OILS"
"501","MAGNESIUM"
"502","MAGNESIUM AMMONIUM PHOSPHATE-HEXAHYDRATE"
"503","MAGNESIUM CHLORIDE"
"504","MAGNESIUM CHLORIDE HEXAHYDRATE"
"505","MAGNESIUM CHLORIDE, HEXAHYDRATE"
"506","MAGNESIUM HYDROXIDE"
"507","MAGNESIUM OXIDE"
"508","MAGNESIUM PHOSPHIDE"
"509","MAGNESIUM STEARATE"
"510","MAGNESIUM SULFATE"
"511","MAGNESIUM/SODIUM CHLORIDE"
"512","MALEIC ACID"
