5069	["Emission Unit or Activity ID", "Emission Unit or Activity Description", "Source Classification Code (SCC)", "Production / Process Rate", "Units (e.g. million cubic feet, 1000 gallons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Production / Process Rate", "Units (e.g. million cubic feet, 1000 gallons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Control Device Type", "Overall Control Efficiency (% decimal)"]	3
2712	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2016 Calendar Year", "Projected Maximum Year", "Unit (pounds or gallons)", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year", "Projected Maximum Year", "Control Device Type", "Capture Efficiency (% decimal)"]	4
7977	["Emission Unit or Activity ID", "Emission Unit / Activity Description", "Production / Process Rate 1", "Units 1", "Production Type 1 (e.g. natural gas, metals, wood, etc.)", "Production / Process Rate 2", "Units 2", "Production Type 2 (e.g. natural gas, metals, wood, etc.)", "Control Device Type", "Capture Efficiency (%)", "Destruction Efficiency (%)"]	2
4625	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2016 Calendar Year", "Projected Maximum Year", "Unit Type", "Volume Per Unit", "Volume Unit Type", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year 2", "Projected Maximum Year 2"]	4
921	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2016 Calendar Year", "Projected Maximum Year", "Unit (pounds or gallons)", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year", "Projected Maximum Year", "Control Device Type", "Capture Efficiency (% decimal)", "Destruction Efficiency (% decimal)"]	4
8592	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2016 Calendar Year", "Projected Maximum Year", "Unit (pounds or gallons)", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year", "Projected Maximum Year", "Control Device Type"]	4
9036	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2016 Calendar Year", "Projected Maximum Year", "Unit (pounds or gallons)", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year", "Projected Maximum Year", "Control Device Type", "Destruction Efficiency (% decimal)"]	4
1897	["Emission Unit or Activity ID", "Emission Unit or Activity Description", "Source Classification Code (SCC)", "Production / Process Rate", "Units (e.g. miIIion cubic feet, 1000 gaIIons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Production / Process Rate", "Units (e.g. miIIion cubic feet, 1000 gaIIons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Control Device Type", "OveraII Control Efficiency (% decimal)"]	3
9419	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2016 Calendar Year", "Projected Maximum Year", "Unit (dry pounds)", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year", "Projected Maximum Year", "Control Device Type", "Capture Efficiency (% decimal)", "Destruction Efficiency (% decimal)"]	4
9642	["Emission Unit or Activity ID", "Emission Unit or Activity Description", "Source Classification Code (SCC)", "Production / Process Rate", "Units (e.g. million cubic feet, 1000 gallons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Production / Process Rate", "Units (e.g. million cubic feet, 1000 gallons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Control Device Type (1)", "Control Device Type (2)", "Overall Control Efficiency (% decimal)"]	3
1009	["Emission Unit or Activity ID", "Material Name (SDS ID #)", "Product Name", "Product Manufacturer", "2016 Calendar Year", "Projected Maximum Year", "Unit (pounds or gallons)", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year", "Projected Maximum Year", "Control Device Type", "Capture Efficiency (% decimal)", "Destruction Efficiency (% decimal)"]	4
7320	["Emission Unit or Activity ID", "Emission Unit or Activity Description", "Source Classification Code (SCC)", "Activity", "Units (e.g. million cubic feet, 1000 gallons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Activity", "Units (e.g. million cubic feet, 1000 gallons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Control Device Type", "Overall Control Efficiency (% decimal)"]	3
2669	["Emission Unit or Activity ID", "Emission Unit or Activity Description", "Source Classification Code (SCC)", "Production/ Process Rate", "Units (e.g. million cubic feet, 1000 gallons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Production/ Process Rate", "Units (e.g. million cubic feet, 1000 gallons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Control Device Type", "Overall Control Efficiency (% decimal)"]	3
5569	["Emission Unit or Activity ID", "Emission Unit or Activity Description", "Source Classification Code (SCC)", "Production / Process Rate", "Units (e.g. million cubic feet, 1000 gallons, etc.)", "Production Type (e.g. tural gas, metals, wood, etc.)", "Production / Process Rate", "Units (e.g. million cubic feet, 1000 gallons, etc.)", "Production Type (e.g. tural gas, metals, wood, etc.)", "Control Device Type", "Overall Control Efficiency (% decimal)"]	3
3899	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2016 Calendar Year", " Projected Maximum Year 1 ", "Unit (pounds or gallons)", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year", " Projected Maximum Year 1 ", "Control Device Type", " Capture Efficiency 2 (% decimal) ", " Destruction Efficiency 2 (% decimal) "]	4
2234	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2016 Calendar Year", "Projected Maximum Year", "Unit (pounds or gallons)", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year", "Projected Maximum Year", "Control Device Type", "PM Transfer Efficiency", "Fraction of PM Emissions to Air vs. Dock"]	4
2745	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2017 Calendar Year", "Projected Maximum Year", "Unit (pounds or gallons)", "Specific Gravity", "Product Density (lb/gallon)", "2017 Calendar Year", "Projected Maximum Year", "Control Device Type", "Capture Efficiency (% decimal)", "Destruction Efficiency (% decimal)"]	4
